OBJECT_NAME,OBJECT_ID,NORAD_CAT_ID,OBJECT_TYPE,OPS_STATUS_CODE,OWNER,LAUNCH_DATE,LAUNCH_SITE,DECAY_DATE,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS,DATA_STATUS_CODE,ORBIT_CENTER,ORBIT_TYPE
COMSATBW-2,2010-021B,36582,PAY,+,GER,2010-05-21,FRGUI,,1436.12,0.01,35798,35776,6.3096,,EA,ORB
BEIDOU-2 G3,2010-024A,36590,PAY,P,PRC,2010-06-02,XICLF,,1436.07,4.7,35808,35765,52.4,,EA,ORB
BADR-5,2010-025A,36592,PAY,+,AB,2010-06-03,TYMSC,,1436.03,0.03,35819,35751,15.8489,,EA,ORB
ARABSAT-5A,2010-032B,36745,PAY,+,AB,2010-06-26,FRGUI,,1436.1,0.23,35805,35768,11.1427,,EA,ORB
ECHOSTAR 15,2010-034A,36792,PAY,+,US,2010-07-10,TYMSC,,1436.11,0.06,35795,35778,6.3096,,EA,ORB
NILESAT 201,2010-037A,36830,PAY,+,EGYP,2010-08-04,FRGUI,,1436.09,0.02,35810,35763,59.7633,,EA,ORB
RASCOM-QAF 1R,2010-037B,36831,PAY,+,RASC,2010-08-04,FRGUI,,1436.09,0.02,35808,35764,65.9677,,EA,ORB
AEHF-1 (USA 214),2010-039A,36868,PAY,+,US,2010-08-14,AFETR,,1436.1,8.41,35803,35770,7.9433,,EA,ORB
XM-5,2010-053A,37185,PAY,+,US,2010-10-14,TYMSC,,1436.08,0.07,35789,35784,12.6191,,EA,ORB
BSAT-3B,2010-056B,37207,PAY,+,JPN,2010-10-28,FRGUI,,1436.13,0.09,35805,35770,10.0,,EA,ORB
BEIDOU-2 G4,2010-057A,37210,PAY,+,PRC,2010-10-31,XICLF,,1436.11,3.83,35819,35754,19.9526,,EA,ORB
SKYTERRA 1,2010-061A,37218,PAY,+,US,2010-11-14,TYMSC,,1436.1,5.29,35790,35783,0.003,,EA,ORB
USA 223,2010-063A,37232,PAY,+,US,2010-11-21,AFETR,,1436.11,9.46,35908,35666,,NEA,EA,ORB
HYLAS 1,2010-065A,37237,PAY,+,UK,2010-11-26,FRGUI,,1430.75,5.83,35696,35667,119.9526,,EA,ORB
INTELSAT 17 (IS-17),2010-065B,37238,PAY,+,ITSO,2010-11-26,FRGUI,,1436.1,0.01,35797,35776,6.3096,,EA,ORB
EUTELSAT KA-SAT 9A,2010-069A,37258,PAY,+,EUTE,2010-12-26,TYMSC,,1436.13,0.08,35810,35764,15.8489,,EA,ORB
HISPASAT 30W-5,2010-070A,37264,PAY,+,SPN,2010-12-29,FRGUI,,1436.13,0.02,35811,35763,7.0794,,EA,ORB
KOREASAT 6,2010-070B,37265,PAY,+,SKOR,2010-12-29,FRGUI,,1436.09,0.02,35795,35778,19.9526,,EA,ORB
BEIDOU-2 IGSO-3,2011-013A,37384,PAY,+,PRC,2011-04-09,XICLF,,1436.37,62.5,35948,35636,31.6228,,EA,ORB
INTELSAT 28 (IS-28),2011-016A,37392,PAY,+,ITSO,2011-04-22,FRGUI,,1436.13,2.0,35804,35771,25.1189,,EA,ORB
YAHSAT 1A,2011-016B,37393,PAY,+,UAE,2011-04-22,FRGUI,,1436.07,0.01,35795,35777,31.6228,,EA,ORB
SBIRS GEO-1 (USA 230),2011-019A,37481,PAY,+,US,2011-05-07,AFETR,,1436.09,4.71,35793,35779,19.9526,,EA,ORB
GSAT-8,2011-022A,37605,PAY,+,IND,2011-05-20,FRGUI,,1436.09,2.33,35811,35762,6.3096,,EA,ORB
ST-2,2011-022B,37606,PAY,+,STCT,2011-05-20,FRGUI,,1436.07,0.02,35794,35778,5.6234,,EA,ORB
